"Sorting.code","Mesh.size","Leaf.condition","Genus","latitude","longitude","mean_kd","mean_mean_daily_temp","Citation"
2552,"coarse","senesced","Salix",30.05,-98.25,0.0054,12.1,"Short et al. 1984 J of FW Ecol"
2553,"coarse","senesced","Platanus",29.39,-97.58,0.0193,16.6,"Short et al. 1984 J of FW Ecol"
2554,"coarse","senesced","Platanus",30.05,-98.25,0.004,12.1,"Short et al. 1984 J of FW Ecol"
2555,"coarse","senesced","Quercus",33.37,-94.58,0.012,9.6,"Short et al. 1984 J of FW Ecol"
2556,"coarse","senesced","Liquidambar",33.37,-94.58,0.033,9.6,"Short et al. 1984 J of FW Ecol"
2558,"coarse","senesced","Ficus",10.42,-72.42,0.0469,28.3,"Rincon and Santelloco 2009 JNABS_Aq fungi"
2559,"fine","senesced","Ficus",10.42,-72.42,0.0585,28.3,"Rincon and Santelloco 2009 JNABS_Aq fungi"
2560,"coarse","senesced","Ficus",11.08,-72.22,0.0313,27.6,"Rincon and Santelloco 2009 JNABS_Aq fungi"
2561,"fine","senesced","Ficus",11.08,-72.22,0.0382,27.6,"Rincon and Santelloco 2009 JNABS_Aq fungi"
2583,"coarse","senesced","Phragmites",39.515,9.0413,0.01025,13.7,"Pinna et al. 2004_Intl Rev Hydro"
2584,"coarse","senesced","Phragmites",39.5215,9.511,0.03235,11.4,"Pinna et al. 2004_Intl Rev Hydro"
2585,"coarse","senesced","Phragmites",39.524,9.428,0.0208,10.3,"Pinna et al. 2004_Intl Rev Hydro"
2586,"coarse","senesced","Phragmites",39.5328,9.158,0.01805,13.6,"Pinna et al. 2004_Intl Rev Hydro"
2587,"coarse","senesced","Phragmites",40.095,9.08,0.05885,14.7,"Pinna et al. 2004_Intl Rev Hydro"
2588,"coarse","senesced","Phragmites",40.1018,9.0805,0.0168,12.5,"Pinna et al. 2004_Intl Rev Hydro"
